action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,81707,[],CHEMBL663602,Inhibitory activity against Cyclin-dependent kinase 5-p35nck5a,B,,,BAO_0000190,BAO_0000223,protein complex format,O=Nc1c(-c2c(O)[nH]c3cc(F)ccc23)[nH]c2ccccc12,,,CHEMBL1148469,J Med Chem,2004,"{'bei': '23.11', 'le': '0.42', 'lle': '2.26', 'sei': '8.40'}",CHEMBL174292,,CHEMBL174292,6.82,0,http://www.openphacts.org/units/Nanomolar,343503,=,1,1,=,,IC50,nM,,150.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606,,,IC50,uM,UO_0000065,,0.15
,,81710,[],CHEMBL663602,Inhibitory activity against Cyclin-dependent kinase 5-p35nck5a,B,,,BAO_0000190,BAO_0000223,protein complex format,CC(=O)O/N=C1/C(c2c(O)[nH]c3cc(F)ccc23)=Nc2ccccc21,,,CHEMBL1148469,J Med Chem,2004,"{'bei': '19.34', 'le': '0.36', 'lle': '3.11', 'sei': '7.49'}",CHEMBL352781,,CHEMBL352781,6.52,0,http://www.openphacts.org/units/Nanomolar,343502,=,1,1,=,,IC50,nM,,300.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606,,,IC50,uM,UO_0000065,,0.3
,,84710,[],CHEMBL663602,Inhibitory activity against Cyclin-dependent kinase 5-p35nck5a,B,,,BAO_0000190,BAO_0000223,protein complex format,C=Cc1ccc2c(-c3[nH]c4ccccc4c3N=O)c(O)[nH]c2c1,,,CHEMBL1148469,J Med Chem,2004,"{'bei': '21.02', 'le': '0.38', 'lle': '1.32', 'sei': '7.85'}",CHEMBL369823,,CHEMBL369823,6.38,0,http://www.openphacts.org/units/Nanomolar,343520,=,1,1,=,,IC50,nM,,420.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606,,,IC50,uM,UO_0000065,,0.42
,,84713,[],CHEMBL663602,Inhibitory activity against Cyclin-dependent kinase 5-p35nck5a,B,,,BAO_0000190,BAO_0000223,protein complex format,O=C1C(c2c(O)[nH]c3cccc(Cl)c23)=Nc2ccccc21,,,CHEMBL1148469,J Med Chem,2004,"{'bei': '16.85', 'le': '0.33', 'lle': '1.16', 'sei': '7.64'}",CHEMBL176306,,CHEMBL176306,5.00,0,http://www.openphacts.org/units/Nanomolar,343513,=,1,1,=,,IC50,nM,,10000.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606,,,IC50,uM,UO_0000065,,10.0
,,85835,[],CHEMBL663602,Inhibitory activity against Cyclin-dependent kinase 5-p35nck5a,B,,,BAO_0000190,BAO_0000223,protein complex format,O=C1C(c2c(O)[nH]c3cc(Br)ccc23)=Nc2cc(Br)ccc21,,,CHEMBL1148469,J Med Chem,2004,,CHEMBL170347,,CHEMBL170347,,0,http://www.openphacts.org/units/Nanomolar,343537,>,1,1,>,,IC50,nM,,100000.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606,,,IC50,uM,UO_0000065,,100.0
,,85838,[],CHEMBL663602,Inhibitory activity against Cyclin-dependent kinase 5-p35nck5a,B,,,BAO_0000190,BAO_0000223,protein complex format,O=C1Nc2cc(Br)ccc2/C1=C1/Nc2ccccc2/C1=N\O,,,CHEMBL1148469,J Med Chem,2004,"{'bei': '19.88', 'le': '0.44', 'lle': '3.66', 'sei': '9.61'}",CHEMBL409450,6BIO,CHEMBL409450,7.08,0,http://www.openphacts.org/units/Nanomolar,343532,=,1,1,=,,IC50,nM,,83.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606,,,IC50,uM,UO_0000065,,0.083
,,86751,[],CHEMBL663602,Inhibitory activity against Cyclin-dependent kinase 5-p35nck5a,B,,,BAO_0000190,BAO_0000223,protein complex format,O=Nc1c(-c2c(O)[nH]c3ccccc23)[nH]c2cc(Br)ccc12,,,CHEMBL1148469,J Med Chem,2004,"{'bei': '16.62', 'le': '0.37', 'lle': '0.74', 'sei': '7.29'}",CHEMBL354042,,CHEMBL354042,5.92,0,http://www.openphacts.org/units/Nanomolar,343494,=,1,1,=,,IC50,nM,,1200.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606,,,IC50,uM,UO_0000065,,1.2
,,87848,[],CHEMBL663602,Inhibitory activity against Cyclin-dependent kinase 5-p35nck5a,B,,,BAO_0000190,BAO_0000223,protein complex format,CO/N=C1/C(c2c(O)[nH]c3ccccc23)=Nc2ccccc21,,,CHEMBL1148469,J Med Chem,2004,"{'bei': '21.96', 'le': '0.40', 'lle': '3.04', 'sei': '9.14'}",CHEMBL170138,,CHEMBL170138,6.40,0,http://www.openphacts.org/units/Nanomolar,343536,=,1,1,=,,IC50,nM,,400.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606,,,IC50,uM,UO_0000065,,0.4
,,87851,[],CHEMBL663602,Inhibitory activity against Cyclin-dependent kinase 5-p35nck5a,B,,,BAO_0000190,BAO_0000223,protein complex format,C=Cc1ccc2c(C3=Nc4ccccc4C3=O)c(O)[nH]c2c1,,,CHEMBL1148469,J Med Chem,2004,"{'bei': '19.49', 'le': '0.35', 'lle': '1.79', 'sei': '8.59'}",CHEMBL175053,,CHEMBL175053,5.62,0,http://www.openphacts.org/units/Nanomolar,343521,=,1,1,=,,IC50,nM,,2400.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606,,,IC50,uM,UO_0000065,,2.4
,,88763,[],CHEMBL663602,Inhibitory activity against Cyclin-dependent kinase 5-p35nck5a,B,,,BAO_0000190,BAO_0000223,protein complex format,Cn1c(O)c(C2=Nc3ccccc3C2=O)c2ccc(Br)cc21,,,CHEMBL1148469,J Med Chem,2004,,CHEMBL174473,,CHEMBL174473,,0,http://www.openphacts.org/units/Nanomolar,343529,>,1,1,>,,IC50,nM,,100000.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606,,,IC50,uM,UO_0000065,,100.0
,,91696,[],CHEMBL663602,Inhibitory activity against Cyclin-dependent kinase 5-p35nck5a,B,,,BAO_0000190,BAO_0000223,protein complex format,Cc1cc2c(-c3[nH]c4ccccc4c3N=O)c(O)[nH]c2cc1Br,,,CHEMBL1148469,J Med Chem,2004,"{'bei': '18.60', 'le': '0.41', 'lle': '1.40', 'sei': '8.48'}",CHEMBL175155,,CHEMBL175155,6.89,0,http://www.openphacts.org/units/Nanomolar,343498,=,1,1,=,,IC50,nM,,130.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606,,,IC50,uM,UO_0000065,,0.13
,,91699,[],CHEMBL663602,Inhibitory activity against Cyclin-dependent kinase 5-p35nck5a,B,,,BAO_0000190,BAO_0000223,protein complex format,CC(=O)O/N=C1C(=C2/C(=O)Nc3cc(Cl)c(Cl)cc32)/Nc2ccccc2/1,,,CHEMBL1148469,J Med Chem,2004,"{'bei': '18.03', 'le': '0.37', 'lle': '2.95', 'sei': '8.77'}",CHEMBL253769,INDIRUBIN 1,CHEMBL253769,7.00,0,http://www.openphacts.org/units/Nanomolar,343517,=,1,1,=,,IC50,nM,,100.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606,,,IC50,uM,UO_0000065,,0.1
,,91702,[],CHEMBL663602,Inhibitory activity against Cyclin-dependent kinase 5-p35nck5a,B,,,BAO_0000190,BAO_0000223,protein complex format,O=C1C(c2c(O)[nH]c3cc(Br)c([N+](=O)[O-])cc23)=Nc2ccccc21,,,CHEMBL1148469,J Med Chem,2004,,CHEMBL368112,,CHEMBL368112,,0,http://www.openphacts.org/units/Nanomolar,343516,>,1,1,>,,IC50,nM,,100000.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606,,,IC50,uM,UO_0000065,,100.0
,,93781,[],CHEMBL663602,Inhibitory activity against Cyclin-dependent kinase 5-p35nck5a,B,,,BAO_0000190,BAO_0000223,protein complex format,O=C1C(c2c(O)[nH]c3cc(I)ccc23)=Nc2ccccc21,,,CHEMBL1148469,J Med Chem,2004,"{'bei': '13.59', 'le': '0.34', 'lle': '1.48', 'sei': '8.06'}",CHEMBL174343,,CHEMBL174343,5.28,0,http://www.openphacts.org/units/Nanomolar,343524,=,1,1,=,,IC50,nM,,5300.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606,,,IC50,uM,UO_0000065,,5.3
,,94735,[],CHEMBL663602,Inhibitory activity against Cyclin-dependent kinase 5-p35nck5a,B,,,BAO_0000190,BAO_0000223,protein complex format,O=Nc1c(-c2c(O)[nH]c3ccccc23)[nH]c2ccccc12,,,CHEMBL1148469,J Med Chem,2004,"{'bei': '25.25', 'le': '0.46', 'lle': '2.58', 'sei': '8.62'}",CHEMBL126077,INDIRUBIN-3-MONOXIME,CHEMBL126077,7.00,0,http://www.openphacts.org/units/Nanomolar,343535,=,1,1,=,,IC50,nM,,100.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606,,,IC50,uM,UO_0000065,,0.1
,,94738,[],CHEMBL663602,Inhibitory activity against Cyclin-dependent kinase 5-p35nck5a,B,,,BAO_0000190,BAO_0000223,protein complex format,Cc1cc2c(C3=Nc4ccccc4C3=O)c(O)[nH]c2cc1Br,,,CHEMBL1148469,J Med Chem,2004,"{'bei': '11.89', 'le': '0.26', 'lle': '-0.04', 'sei': '6.45'}",CHEMBL173178,,CHEMBL173178,4.22,0,http://www.openphacts.org/units/Nanomolar,343499,=,1,1,=,,IC50,nM,,60000.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606,,,IC50,uM,UO_0000065,,60.0
,,96781,[],CHEMBL663602,Inhibitory activity against Cyclin-dependent kinase 5-p35nck5a,B,,,BAO_0000190,BAO_0000223,protein complex format,O=Nc1c(-c2c(O)[nH]c3cc(I)ccc23)[nH]c2ccccc12,,,CHEMBL1148469,J Med Chem,2004,"{'bei': '16.18', 'le': '0.40', 'lle': '1.50', 'sei': '8.03'}",CHEMBL177146,,CHEMBL177146,6.52,0,http://www.openphacts.org/units/Nanomolar,343523,=,1,1,=,,IC50,nM,,300.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606,,,IC50,uM,UO_0000065,,0.3
,,97829,[],CHEMBL663602,Inhibitory activity against Cyclin-dependent kinase 5-p35nck5a,B,,,BAO_0000190,BAO_0000223,protein complex format,O=C1Nc2ccccc2/C1=C1/Nc2ccccc2C1=O,,,CHEMBL1148469,J Med Chem,2004,"{'bei': '19.06', 'le': '0.34', 'lle': '2.34', 'sei': '8.59'}",CHEMBL1276127,INDIRUBIN,CHEMBL1276127,5.00,0,http://www.openphacts.org/units/Nanomolar,343493,=,1,1,=,,IC50,nM,,10000.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606,,,IC50,uM,UO_0000065,,10.0
,,97832,[],CHEMBL663602,Inhibitory activity against Cyclin-dependent kinase 5-p35nck5a,B,,,BAO_0000190,BAO_0000223,protein complex format,O=C1C(c2c(O)[nH]c3cc(Cl)ccc23)=Nc2ccccc21,,,CHEMBL1148469,J Med Chem,2004,,CHEMBL369220,,CHEMBL369220,,0,http://www.openphacts.org/units/Nanomolar,343527,>,1,1,>,,IC50,nM,,100000.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606,,,IC50,uM,UO_0000065,,100.0
,,97835,[],CHEMBL663602,Inhibitory activity against Cyclin-dependent kinase 5-p35nck5a,B,,,BAO_0000190,BAO_0000223,protein complex format,CC(=O)O/N=C1/C(c2c(O)[nH]c3cc(Br)c(C)cc23)=Nc2ccccc21,,,CHEMBL1148469,J Med Chem,2004,"{'bei': '10.97', 'le': '0.24', 'lle': '0.17', 'sei': '5.20'}",CHEMBL174612,,CHEMBL174612,4.52,0,http://www.openphacts.org/units/Nanomolar,343497,=,1,1,=,,IC50,nM,,30000.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606,,,IC50,uM,UO_0000065,,30.0
,,101775,[],CHEMBL663602,Inhibitory activity against Cyclin-dependent kinase 5-p35nck5a,B,,,BAO_0000190,BAO_0000223,protein complex format,O=C1C(c2c(O)[nH]c3ccccc23)=Nc2cc(Br)ccc21,,,CHEMBL1148469,J Med Chem,2004,,CHEMBL367687,,CHEMBL367687,,0,http://www.openphacts.org/units/Nanomolar,343534,>,1,1,>,,IC50,nM,,100000.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606,,,IC50,uM,UO_0000065,,100.0
,,101778,[],CHEMBL663602,Inhibitory activity against Cyclin-dependent kinase 5-p35nck5a,B,,,BAO_0000190,BAO_0000223,protein complex format,O=C1C(c2c(O)[nH]c3cc(F)ccc23)=Nc2ccccc21,,,CHEMBL1148469,J Med Chem,2004,"{'bei': '21.41', 'le': '0.39', 'lle': '2.67', 'sei': '9.17'}",CHEMBL172540,,CHEMBL172540,6.00,0,http://www.openphacts.org/units/Nanomolar,343518,=,1,1,=,,IC50,nM,,1000.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606,,,IC50,uM,UO_0000065,,1.0
,,101781,[],CHEMBL663602,Inhibitory activity against Cyclin-dependent kinase 5-p35nck5a,B,,,BAO_0000190,BAO_0000223,protein complex format,O=C1C(c2c(O)[nH]c3cc(Cl)c(Cl)cc23)=Nc2ccccc21,,,CHEMBL1148469,J Med Chem,2004,"{'bei': '12.75', 'le': '0.26', 'lle': '-0.28', 'sei': '6.45'}",CHEMBL367664,,CHEMBL367664,4.22,0,http://www.openphacts.org/units/Nanomolar,343496,=,1,1,=,,IC50,nM,,60000.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606,,,IC50,uM,UO_0000065,,60.0
,,101784,[],CHEMBL663602,Inhibitory activity against Cyclin-dependent kinase 5-p35nck5a,B,,,BAO_0000190,BAO_0000223,protein complex format,O=Nc1c(-c2c(O)[nH]c3cc(Cl)c(Cl)cc23)[nH]c2ccccc12,,,CHEMBL1148469,J Med Chem,2004,"{'bei': '20.86', 'le': '0.43', 'lle': '1.49', 'sei': '8.89'}",CHEMBL366414,,CHEMBL366414,7.22,0,http://www.openphacts.org/units/Nanomolar,343495,=,1,1,=,,IC50,nM,,60.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606,,,IC50,uM,UO_0000065,,0.06
,,102783,[],CHEMBL663602,Inhibitory activity against Cyclin-dependent kinase 5-p35nck5a,B,,,BAO_0000190,BAO_0000223,protein complex format,O=Nc1c(-c2c(O)[nH]c3cc(Br)ccc23)[nH]c2cc(Br)ccc12,,,CHEMBL1148469,J Med Chem,2004,"{'bei': '13.53', 'le': '0.35', 'lle': '-0.05', 'sei': '7.25'}",CHEMBL441109,,CHEMBL441109,5.89,0,http://www.openphacts.org/units/Nanomolar,343538,=,1,1,=,,IC50,nM,,1300.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606,,,IC50,uM,UO_0000065,,1.3
,,103719,[],CHEMBL663602,Inhibitory activity against Cyclin-dependent kinase 5-p35nck5a,B,,,BAO_0000190,BAO_0000223,protein complex format,CC(=O)O/N=C1C(=C2/C(=O)Nc3cc(Br)ccc32)/Nc2ccccc2/1,,,CHEMBL1148469,J Med Chem,2004,"{'bei': '14.11', 'le': '0.31', 'lle': '2.11', 'sei': '7.04'}",CHEMBL430226,6-BROMOINDIRUBIN-3'-ACETOXIME,CHEMBL430226,5.62,0,http://www.openphacts.org/units/Nanomolar,343531,=,1,1,=,,IC50,nM,,2400.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606,,,IC50,uM,UO_0000065,,2.4
,,103722,[],CHEMBL663602,Inhibitory activity against Cyclin-dependent kinase 5-p35nck5a,B,,,BAO_0000190,BAO_0000223,protein complex format,Cn1c(O)c(-c2[nH]c3ccccc3c2N=O)c2ccccc21,,,CHEMBL1148469,J Med Chem,2004,,CHEMBL366438,,CHEMBL366438,,0,http://www.openphacts.org/units/Nanomolar,343500,>,1,1,>,,IC50,nM,,100000.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606,,,IC50,uM,UO_0000065,,100.0
,,104767,[],CHEMBL663602,Inhibitory activity against Cyclin-dependent kinase 5-p35nck5a,B,,,BAO_0000190,BAO_0000223,protein complex format,O=Nc1c(-c2c(O)[nH]c3cc(Br)c([N+](=O)[O-])cc23)[nH]c2ccccc12,,,CHEMBL1148469,J Med Chem,2004,"{'bei': '17.01', 'le': '0.37', 'lle': '1.73', 'sei': '5.49'}",CHEMBL170640,,CHEMBL170640,6.82,0,http://www.openphacts.org/units/Nanomolar,343515,=,1,1,=,,IC50,nM,,150.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606,,,IC50,uM,UO_0000065,,0.15
,,393893,[],CHEMBL663599,Inhibitory activity against recombinant mammalian cyclin-dependent kinase 5 (p35 NCK5a) expressed in Escherichia coli,B,,,BAO_0000190,BAO_0000019,assay format,CCCc1c(-c2ccc(OC)cc2)[nH]c2nccnc12,,,CHEMBL1145099,J Med Chem,2003,"{'bei': '23.57', 'le': '0.43', 'lle': '2.71', 'sei': '12.40'}",CHEMBL308293,,CHEMBL308293,6.30,0,http://www.openphacts.org/units/Nanomolar,137690,=,1,1,=,,IC50,nM,,500.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606,,,IC50,uM,UO_0000065,,0.5
,,393896,[],CHEMBL663599,Inhibitory activity against recombinant mammalian cyclin-dependent kinase 5 (p35 NCK5a) expressed in Escherichia coli,B,,,BAO_0000190,BAO_0000019,assay format,CCCCCCCc1c(-c2ccc(OC)cc2)[nH]c2nccnc12,,,CHEMBL1145099,J Med Chem,2003,,CHEMBL76741,,CHEMBL76741,,0,http://www.openphacts.org/units/Nanomolar,137685,>,1,1,>,,IC50,nM,,100000.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606,,,IC50,uM,UO_0000065,,100.0
,,395321,[],CHEMBL663599,Inhibitory activity against recombinant mammalian cyclin-dependent kinase 5 (p35 NCK5a) expressed in Escherichia coli,B,,,BAO_0000190,BAO_0000019,assay format,COc1ccc(-c2[nH]c3nccnc3c2C)cc1,,,CHEMBL1145099,J Med Chem,2003,"{'bei': '25.48', 'le': '0.46', 'lle': '3.16', 'sei': '12.00'}",CHEMBL77264,,CHEMBL77264,6.10,0,http://www.openphacts.org/units/Nanomolar,137692,=,1,1,=,,IC50,nM,,800.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606,,,IC50,uM,UO_0000065,,0.8
,,395324,[],CHEMBL663599,Inhibitory activity against recombinant mammalian cyclin-dependent kinase 5 (p35 NCK5a) expressed in Escherichia coli,B,,,BAO_0000190,BAO_0000019,assay format,CCCCc1c(-c2ccc(O)cc2)[nH]c2nccnc12,,,CHEMBL1145099,J Med Chem,2003,"{'bei': '25.06', 'le': '0.46', 'lle': '3.03', 'sei': '10.84'}",CHEMBL75680,ALOISINE A,CHEMBL75680,6.70,0,http://www.openphacts.org/units/Nanomolar,137724,=,1,1,=,,IC50,nM,,200.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606,,,IC50,uM,UO_0000065,,0.2
,,395329,[],CHEMBL663601,Inhibition of Cyclin-dependent kinase 5-p35nck5a,B,,,BAO_0000190,BAO_0000223,protein complex format,CCCCc1c(-c2ccc(O)cc2)[nH]c2nccnc12,,,CHEMBL1145099,J Med Chem,2003,"{'bei': '25.42', 'le': '0.46', 'lle': '3.13', 'sei': '11.00'}",CHEMBL75680,ALOISINE A,CHEMBL75680,6.80,0,http://www.openphacts.org/units/Nanomolar,137724,=,1,1,=,,IC50,nM,,160.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606,,,IC50,uM,UO_0000065,,0.16
